comuna_datachile_id;comuna_name
226;Pozo Almonte
217;Pica
113;Iquique
108;Huara
58;Colchane
26;Camiña
5;Alto Hospicio
321;Tocopilla
313;Taltal
309;Sierra Gorda
297;San Pedro de Atacama
189;Ollague
170;Mejillones
165;María Elena
19;Calama
9;Antofagasta
330;Vallenar
317;Tierra Amarilla
109;Huasco
93;Freirina
81;Diego de Almagro
68;Copiapó
39;Chañaral
21;Caldera
4;Alto del Carmen
334;Vicuña
278;Salamanca
271;Río Hurtado
237;Punitaqui
195;Paihuano
192;Ovalle
174;Monte Patria
156;Los Vilos
126;La Serena
122;La Higuera
111;Illapel
69;Coquimbo
62;Combarbalá
27;Canela
7;Andacollo
344;Zapallar
339;Viña del Mar
337;Villa Alemana
331;Valparaíso
308;Santo Domingo
306;Santa María
285;San Felipe
283;San Esteban
279;San Antonio
268;Rinconada
257;Quintero
253;Quilpué
252;Quillota
242;Putaendo
229;Puchuncaví
215;Petorca
202;Papudo
201;Panquehue
190;Olmué
183;Nogales
151;Los Andes
142;Llay Llay
138;Limache
123;La Ligua
118;La Cruz
116;Juan Fernández
115;Isla de Pascua
103;Hijuelas
87;El Tabo
86;El Quisco
63;Con Cón
33;Catemu
31;Casablanca
30;Cartagena
24;Calle Larga
22;Calera
16;Cabildo
1;Algarrobo
304;Santa Cruz
302;San Vicente
286;San Fernando
266;Requínoa
265;Rengo
259;Rancagua
255;Quinta de Tilcoco
236;Pumanque
223;Placilla
219;Pichilemu
218;Pichidegua
216;Peumo
213;Peralillo
203;Paredones
199;Palmilla
188;Olivar
180;Navidad
178;Nancagua
175;San Francisco de Mostazal
164;Marchigüe
163;Malloa
159;Machalí
146;Lolol
140;Litueche
133;Las Cabras
119;La Estrella
101;Graneros
82;Doñihue
61;Coltauco
56;Coinco
52;Codegua
45;Chimbarongo
40;Chépica
341;Yerbas Buenas
336;Villa Alegre
332;Vichuquén
315;Teno
311;Talca
299;San Rafael
289;San Javier
282;San Clemente
277;Sagrada Familia
275;Romeral
270;Río Claro
267;Retiro
261;Rauco
209;Pencahue
207;Pelluhue
206;Pelarco
204;Parral
173;Molina
168;Maule
148;Longaví
139;Linares
137;Licantén
105;Hualañé
88;Empedrado
79;Curicó
78;Curepto
66;Constitución
57;Colbún
38;Chanco
34;Cauquenes
343;Yungay
342;Yumbel
328;Tucapel
327;Trehuaco
323;Tomé
320;Tirúa
312;Talcahuano
305;Santa Juana
303;Santa Bárbara
301;San Rosendo
298;San Pedro de la Paz
294;San Nicolás
288;San Ignacio
284;San Fabián
281;San Carlos
260;Ránquil
258;Quirihue
251;Quillón
250;Quilleco
248;Quilaco
224;Portezuelo
220;Pinto
210;Penco
208;Pemuco
185;Ñiquén
182;Ninhue
181;Negrete
177;Nacimiento
176;Mulchén
157;Lota
152;Los Ángeles
150;Los Álamos
136;Lebu
131;Laja
107;Hualqui
106;Hualpén
91;Florida
84;El Carmen
76;Curanilahue
70;Coronel
67;Contulmo
64;Concepción
55;Coihueco
53;Coelemu
49;Cobquecura
44;Chillán Viejo
43;Chillán
41;Chiguayante
28;Cañete
18;Cabrero
15;Bulnes
11;Arauco
10;Antuco
3;Alto Bío Bío
338;Villarrica
335;Vilcún
333;Victoria
326;Traiguén
322;Toltén
316;Teodoro Schmidt
314;Temuco
276;Saavedra
263;Renaico
240;Purén
230;Pucón
222;Pitrufquén
214;Perquenco
194;Padre Las Casas
184;Nueva Imperial
171;Melipeuco
158;Lumaco
155;Los Sauces
149;Lonquimay
147;Loncoche
135;Lautaro
100;Gorbea
98;Galvarino
92;Freire
89;Ercilla
77;Curarrehue
73;Curacautín
72;Cunco
60;Collipulli
46;Cholchol
29;Carahue
8;Angol
295;San Pablo
292;San Juan de la Costa
273;Río Negro
254;Quinchao
247;Quemchi
246;Quellón
245;Queilén
244;Puyehue
241;Purranque
239;Puqueldón
235;Puerto Varas
234;Puerto Octay
233;Puerto Montt
198;Palena
191;Osorno
169;Maullín
154;Los Muermos
141;Llanquihue
104;Hualaihué
96;Futaleufú
95;Frutillar
94;Fresia
80;Dalcahue
75;Curaco de Vélez
50;Cochamó
47;Chonchi
37;Chaitén
32;Castro
20;Calbuco
6;Ancud
325;Tortel
272;Río Ibáñez
187;O'Higgins
129;Lago Verde
102;Guaitecas
54;Coihaique
51;Cochrane
48;Cisnes
42;Chile Chico
13;Aysén
345;Antartica
324;Torres del Paine
319;Timaukel
287;San Gregorio
274;Río Verde
238;Punta Arenas
227;Primavera
225;Porvenir
179;Natales
130;Laguna Blanca
17;Cabo de Hornos
348;Santiago Sur
347;Santiago Oeste
346;Lampa
340;Vitacura
318;Til-Til
310;Talagante
307;Santiago
300;San Ramón
296;San Pedro
293;San Miguel
291;San José de Maipo
290;San Joaquín
280;San Bernardo
264;Renca
262;Recoleta
256;Quinta Normal
249;Quilicura
232;Puente Alto
231;Pudahuel
228;Providencia
221;Pirque
212;Peñalolén
211;Peñaflor
205;Pedro Aguirre Cerda
197;Paine
193;Padre Hurtado
186;Ñuñoa
172;Melipilla
166;María Pinto
162;Maipú
160;Macul
145;Lo Prado
144;Lo Espejo
143;Lo Barnechea
134;Las Condes
125;La Reina
124;La Pintana
121;La Granja
120;La Florida
117;La Cisterna
114;Isla de Maipo
112;Independencia
110;Huechuraba
90;Estación Central
85;El Monte
83;El Bosque
74;Curacaví
65;Conchalí
59;Colina
36;Cerro Navia
35;Cerrillos
23;Calera de Tango
14;Buin
2;Alhué
329;Valdivia
269;Río Bueno
200;Panguipulli
196;Paillaco
167;Mariquina
161;Máfil
153;Los Lagos
132;Lanco
128;Lago Ranco
127;La Unión
97;Futrono
71;Corral
243;Putre
99;General Lagos
25;Camarones
12;Arica
